"ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","GENENAME","DEG_status","gene_label"
"115350",54.7508325598194,4.23065342468521,0.868110597869477,0.00134020387562599,0.137819054598609,"FCRL1","Fc receptor like 1","Not_significant","FCRL1"
"55765",52.0097274835152,-0.00182325495324645,0.0653081016070958,0.00133819728807927,0.137819054598609,"INAVA","innate immunity activator","Not_significant","INAVA"
"154661",86.9406374113183,1.37953287275447,0.652042405445991,0.00139136375788754,0.139525266280089,"RUNDC3B","RUN domain containing 3B","Not_significant","RUNDC3B"
"1731",475.228461585198,1.44747974287181,0.679337483373041,0.00139074022492623,0.139525266280089,"SEPTIN1","septin 1","Not_significant","SEPTIN1"
"400506",994.625947174053,-0.466406205674076,0.244166254982527,0.00139092660377115,0.139525266280089,"KNOP1","lysine rich nucleolar protein 1","Not_significant","KNOP1"
"6861",59.3493568996531,-0.00931205969989821,0.0663695741230551,0.00138367844439613,0.139525266280089,"SYT5","synaptotagmin 5","Not_significant","SYT5"
"1747",27.317978436333,-0.0104894398652532,0.0666236826326694,0.00140323586229802,0.139847178992602,"DLX3","distal-less homeobox 3","Not_significant","DLX3"
"347689",26.9499126131688,-0.0106981332769343,0.0666249472069332,0.00144758530250266,0.143381992079174,"SOX2-OT","SOX2 overlapping transcript","Not_significant","SOX2-OT"
"389432",420.956660858619,1.60798071651634,0.756297751939812,0.0014568927793724,0.143423987335167,"SAMD5","sterile alpha motif domain containing 5","Not_significant","SAMD5"
"25984",198.32079344349,-0.00772999962561524,0.0660748319519377,0.00149503187609735,0.146286603876313,"KRT23","keratin 23","Not_significant","KRT23"
"9771",1017.91488545716,1.0194316607316,0.500961782051455,0.00152575269870749,0.148393236871279,"RAPGEF5","Rap guanine nucleotide exchange factor 5","Not_significant","RAPGEF5"
"34",3794.54064122444,0.52711548586857,0.26213463728295,0.0015385301309599,0.148739933918249,"ACADM","acyl-CoA dehydrogenase medium chain","Not_significant","ACADM"
"260436",666.093205753579,4.24262288749965,1.04456755644377,0.0015477939232742,0.148744838638464,"FDCSP","follicular dendritic cell secreted protein","Not_significant","FDCSP"
"81607",111.261191706922,-0.0100305599412788,0.066518881937018,0.00158880404857492,0.151782493279539,"NECTIN4","nectin cell adhesion molecule 4","Not_significant","NECTIN4"
"80008",150.946739269587,1.67903636438235,0.804641079871795,0.00160355310794988,0.152290381928534,"TMEM156","transmembrane protein 156","Not_significant","TMEM156"
